시도교육청코드,시도교육청명,표준학교코드,학교명,영문학교명,학교종류명,소재지명,관할조직명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명
B10,서울특별시교육청,7010057,가락고등학교,Garak High School,고등학교,서울특별시,서울특별시교육청,공립,5678,서울특별시 송파구 송이로 42,(송파동/가락고등학교),02-416-4658,http://garak.sen.hs.kr,남여공학
B10,서울특별시교육청,7011169,가재울고등학교,Gajaeul High School,고등학교,서울특별시,서울특별시교육청,공립,3709,서울특별시 서대문구 수색로 100-35,(북가좌동),02-6351-0500,http://www.gajaeul.hs.kr,남여공학
B10,서울특별시교육청,7010117,강동고등학교,Kangdong High School,고등학교,서울특별시,서울특별시교육청,사립,5279,서울특별시 강동구 구천면로 572,(상일동),02-427-0231,http://kangdong.sen.hs.kr,남여공학
B10,서울특별시교육청,7010118,강서고등학교,Gangseo High School,고등학교,서울특별시,서울특별시교육청,사립,7958,서울특별시 양천구 목동중앙남로 27,/ 강서고등학교 (목동),02-2642-0725,http://gangseo.sen.hs.kr,남
B10,서울특별시교육청,7010270,강서공업고등학교,Gangseo Technical High School,고등학교,서울특별시,서울특별시교육청,공립,7514,서울특별시 강서구 방화대로47길 9,(방화동/강서공업고등학교),02-2666-2106,https://gangseo-th.sen.hs.kr/,남여공학
B10,서울특별시교육청,7010958,강일고등학교,GANGIL HIGH SCHOOL,고등학교,서울특별시,서울특별시교육청,공립,5213,서울특별시 강동구 아리수로98길 40,(강일동),02-428-6200,http://www.gang-il.hs.kr,남여공학
B10,서울특별시교육청,7010058,개포고등학교,Gaepo High School,고등학교,서울특별시,서울특별시교육청,공립,6324,서울특별시 강남구 개포로 402,(개포동/ 개포고등학교),02-576-3333,http://www.gaepo.hs.kr,남여공학
B10,서울특별시교육청,7010119,건국대학교사범대학부속고등학교,Konkuk University High School,고등학교,서울특별시,서울특별시교육청,사립,5029,서울특별시 광진구 능동로 120,/ 건국대학교사범대학부속고등학교 (화양동),070-7012-3500,http://konkuk.sen.hs.kr,남여공학
B10,서울특별시교육청,7010059,경기고등학교,Kyunggi High School,고등학교,서울특별시,서울특별시교육청,공립,6086,서울특별시 강남구 영동대로 643,/ 경기고등학교 (삼성동),02-3496-7300,http://kyunggi.hs.kr/,남
B10,서울특별시교육청,7010271,경기기계공업고등학교,Gyeonggi Mechanical Technical High School,고등학교,서울특별시,서울특별시교육청,공립,1810,서울특별시 노원구 공릉로 264,(하계동),02-2289-1600,http://www.ggmt.hs.kr,남여공학
B10,서울특별시교육청,0,경기기계공업고등학교부설공동실습소,,공동실습소,서울특별시,서울특별시교육청,공립,139869,서울특별시 노원구 공릉로 264,(하계동/경기기계공업고등학교),02-970-8922,http://www.ggmt.hs.kr,남여공학
B10,서울특별시교육청,7010272,경기상업고등학교,Gyeonggi Commercial High School,고등학교,서울특별시,서울특별시교육청,공립,3047,서울특별시 종로구 자하문로 136,(청운동),02-737-6490,http://ggc.sen.hs.kr,남여공학
B10,서울특별시교육청,7010060,경기여자고등학교,Kyunggi Girls’High School,고등학교,서울특별시,서울특별시교육청,공립,6324,서울특별시 강남구 삼성로 29,/ 경기여자고등학교 (개포동),02-573-6797,http://www.kgg.hs.kr,여
B10,서울특별시교육청,7010385,경기여자고등학교부설방송통신고등학교,Air and Correspondence High School Attached to Gyeonggi Girls’ High School,방송통신고등학교,서울특별시,서울특별시교육청,공립,6324,서울특별시 강남구 삼성로 29,(개포동/경기여자고등학교),02-573-6796,http://www.kgg.hs.kr,여
